"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 06 22:15:33 GMT 2023","Mon Mar 06 22:15:33 GMT 2023","254","","Clearing of searching criteria","","","","Clearing of searching criteria",""
"failed","Mon Mar 06 22:15:31 GMT 2023","Mon Mar 06 22:15:31 GMT 2023","252","","Correctness of the search summary and term","","","","Correctness of the search summary and term",""
"passed","Mon Mar 06 22:15:28 GMT 2023","Mon Mar 06 22:15:28 GMT 2023","113","","Correctness of the results","","","","Correctness of the results",""
"unknown","Mon Mar 06 22:15:33 GMT 2023","Mon Mar 06 22:15:33 GMT 2023","62","","Sample of undefined steps","","","","Sample of undefined steps",""
