"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 06 21:26:17 GMT 2023","Mon Mar 06 21:26:17 GMT 2023","111","","Correctness of the results","","","","Correctness of the results",""
"failed","Mon Mar 06 21:26:20 GMT 2023","Mon Mar 06 21:26:21 GMT 2023","315","","Correctness of the search summary and term","","","","Correctness of the search summary and term",""
"unknown","Mon Mar 06 21:26:22 GMT 2023","Mon Mar 06 21:26:22 GMT 2023","60","","Sample of undefined steps","","","","Sample of undefined steps",""
"passed","Mon Mar 06 21:26:22 GMT 2023","Mon Mar 06 21:26:22 GMT 2023","186","","Clearing of searching criteria","","","","Clearing of searching criteria",""
